Application_ID,Applicant_Name,Business_Name,Application_Date,Business_Address,Latitude,Longitude
LSL-00016,Mark Petersen,"Garrett, Jones and Obrien",2023-06-17 13:45:27,"106 Main St, Penetanguishene, Ontario, Canada, L9M 1T5",44.7683092,-79.933642
LSL-00017,Alex Sherman,Nelson Group,2023-11-25 21:37:58,"4 Main St, Penetanguishene, Ontario, Canada, L9M 1T1",44.7734884,-79.938205
LSL-00018,Devon Watson,Munoz-Johnston,2023-12-06 11:09:22,"1289 Wharf St Bay Ridges, Pickering, Ontario, Canada, L1W 1A2",43.8160819,-79.08149
LSL-00019,Brandon Stephenson,"Hickman, Patton and Smith",2023-12-09 12:43:37,"13071 Yonge St, Richmond Hill, Ontario, Canada, L4E 1A5",43.9477381,-79.454338
LSL-00020,Steven Washington,"Rangel, Austin and Brock",2023-09-10 16:08:24,"937 Progress Ave, Scarborough, Ontario, Canada, M1G 3T8",43.7844428,-79.230689
LSL-00021,Kimberly Vega,Fisher and Sons,2023-05-19 1:37:53,"131 Queensway West, Simcoe, Ontario, Canada, N3Y 2M8",42.8453334,-80.312426
LSL-00023,Ryan Gill,"Morrison, Hays and Ferguson",2024-08-21 15:41:58,"1093 Bathurst St, Toronto, Ontario, Canada, M5R 3G8",43.6729586,-79.414119
LSL-00024,Jenna Tyler,Rivera LLC,2024-04-20 0:51:48,"1316 Queen St West, Toronto, Ontario, Canada, M6K 1L4",43.6418359,-79.431146
LSL-00026,Lindsay Martinez,"Walker, Ramos and Chaney",2023-09-14 23:04:45,"290 Bremner Blvd, Toronto, Ontario, Canada, M5V 3L9",43.6425637,-79.387087
LSL-00027,Jessica Chase,"Wood, Mills and Carroll",2023-02-01 22:38:32,"16 Market St, Toronto, Ontario, Canada, M5E 1A9",43.648565,-79.372066
LSL-00028,Patrick Trevino,Hines-Miles,2023-09-12 16:11:10,"1 Richmond St West, Toronto, Ontario, Canada, M5H 3W4",43.6514864,-79.379298
LSL-00029,Martin Cuevas,Martin Inc,2023-10-07 7:29:28,"503 College St, Toronto, Ontario, Canada, M6G 1A5",43.6558971,-79.409829
LSL-00031,Randall Davenport,Spears-Wong,2023-03-18 4:56:45,"955 Gerrard St East, Toronto, Ontario, Canada, M4M 1Z4",43.6680974,-79.340077
LSL-00034,Mark White,Jackson-Russell,2024-04-14 15:54:14,"335 Queen St West, Toronto, Ontario, Canada, M5V 2A4",43.6494204,-79.39205
LSL-00035,Jeffrey Brennan,Miller-Ferguson,2022-11-23 15:57:51,"1768 Weston Rd, Toronto, Ontario, Canada, M9V 1A8",43.6984499,-79.512018
LSL-00036,Dawn Mitchell,Mendez Group,2023-03-19 20:42:28,"4 Toronto St North, Uxbridge, Ontario, Canada, L9P 1E6",44.1104916,-79.122632
LSL-00037,Steven Trevino,"Rowland, Young and Robinson",2023-12-11 5:35:25,"3540 Rutherford Rd, Vaughan, Ontario, Canada, L4H 3T8",43.8281076,-79.547388
LSL-00038,Autumn Hernandez,"Thompson, Dickerson and Gutierrez",2024-09-15 12:43:00,"1604 Champlain Ave, Whitby, Ontario, Canada, L1N 9B2",43.8725113,-78.90302
LSL-00043,Amanda Morrow,Burns Inc,2022-10-22 7:31:58,"990 Ontario St, Cobourg, Ontario, Canada, K9A 3C7",43.9762152,-78.182907
LSL-00045,Angela Gordon,"Davis, Rose and Joseph",2024-01-24 19:23:59,"9 Lindsay St, Fenelon Falls, Ontario, Canada, K0M 1N0",44.534831,-78.737123
LSL-00047,Richard Joyce,Palmer and Sons,2023-06-03 18:34:52,"1235 Deerhurst Drive, Huntsville, Ontario, Canada, P1H 2E8",45.3475157,-79.131528
