Application_ID,Applicant_Name,Business_Name,Application_Date,Business_Address,Premises_Type,Applicant_Type,Seating_Capacity,Area_Type,Previous_Licenses_Held,Compliance_History,Tax_Compliance_Status,Premises_Ownership,Business_Longevity,Licensed_Areas,Automated_Liquor_Dispensers,Lineups_on_Public_Property,Ancillary_Areas,Proximity_to_Residential_Area,Proximity_to_School,Fire_Safety_Certificate,Municipal_Approval,Application_Status,Risk_Score,Risk_Classification,Licensing_Decision
LSL-00011,Shannon Davis,Mccullough PLC,2024-06-13 14:13:47.740704,"6813 Price Green
Stephanieburgh, ON J6C 7B8",Bar,Sole Proprietor,67,Indoor,No,None,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Under Review,4,Low,Approved
LSL-00012,Jake Johnston,"Perez, Rios and Cox",2024-03-12 12:27:28.898181,"90858 Seth Parks
North Brett, BC X7V 4V4",Restaurant,Corporation,90,Indoor,Yes,None,Compliant,Yes,More than 5 years,None,No,No,No,No,No,Valid,Approved,Under Review,0,Low,Approved
LSL-00013,Raymond Beck,Ruiz-Anderson,2024-08-21 14:55:29.142149,"97901 Ford Cliff
Michaelbury, YT X4P5C5",Bar,Sole Proprietor,115,Indoor,No,Minor,Compliant,Yes,1-5 years,None,No,No,No,No,No,Valid,Approved,Under Review,4,Low,Approved
LSL-00014,Victoria Jenkins,Smith LLC,2024-03-05 10:32:05.906069,"973 Smith Junction
Vargaston, NT J4E 9P3",Cafe,Sole Proprietor,119,Outdoor,Yes,None,Compliant,Yes,More than 5 years,None,No,No,No,No,No,Valid,Approved,Under Review,0,Low,Approved
LSL-00015,Sandra Farrell,"Mcknight, Ross and Barrett",2024-08-31 09:22:21.449019,"738 Pam Dam Suite 062
Lake Stephenfort, BC R9J2A5",Restaurant,Corporation,66,Outdoor,Yes,Minor,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Under Review,2,Low,Approved
LSL-00016,Brian Cantrell Jr.,Parker-Davis,2024-03-10 17:54:43.805432,"51947 Ayers Grove
West Michaelfurt, YT M3G1S6",Restaurant,Corporation,127,Outdoor,No,Minor,Compliant,Yes,1-5 years,None,No,No,No,No,No,Valid,Approved,Submitted,4,Low,Approved
LSL-00017,Samuel Kline,Adams LLC,2023-10-25 18:36:08.441317,"40217 Megan Run Suite 966
New Lance, PE N5E2S8",Restaurant,Sole Proprietor,148,Outdoor,No,None,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,4,Low,Approved
LSL-00018,Alicia Carroll,"Ray, Hinton and Copeland",2024-01-13 20:35:26.871066,"5652 Adams Squares
Lake Kristineside, NT C2C7C2",Bar,Sole Proprietor,149,Outdoor,Yes,Minor,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Under Review,1,Low,Approved
LSL-00019,Michael Smith,Howard-Powell,2024-04-04 01:29:26.023455,"4656 Carlos Lake
Harveybury, PE A7X4M5",Bar,Sole Proprietor,111,Indoor,No,None,Compliant,Yes,1-5 years,None,No,No,No,No,No,Valid,Approved,Under Review,4,Low,Approved
LSL-00020,Susan Li,Rivera-Brewer,2023-12-26 16:59:51.826579,"966 Hawkins Brook
Lake Kristen, QC V7S7N9",Cafe,Sole Proprietor,74,Indoor,No,Minor,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,5,Low,Approved
LSL-00021,Helen Leach,"Jones, Johnson and Rosales",2024-05-18 15:55:02.105813,"59442 Kellie Garden Suite 516
Haroldland, QC L6A1X3",Bar,Sole Proprietor,136,Outdoor,Yes,Minor,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,2,Low,Approved
LSL-00022,Melissa Anderson,Garza-Jones,2024-05-16 05:17:56.523695,"81151 Matthews Ford
South Margaretland, NS M3A 9T3",Bar,Corporation,125,Outdoor,Yes,None,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,2,Low,Approved
LSL-00023,Robert White,Patterson Ltd,2024-09-16 15:09:09.447636,"34511 Sutton Tunnel Suite 549
Thomasfurt, ON P5Y5B7",Restaurant,Sole Proprietor,61,Outdoor,No,None,Compliant,Yes,More than 5 years,None,No,No,No,No,No,Valid,Approved,Submitted,3,Low,Approved
LSL-00024,Matthew Kelly,Carter PLC,2024-04-26 01:07:44.930385,"1358 Miller Courts Suite 963
West Natalie, SK E2L1J8",Cafe,Corporation,76,Outdoor,No,Minor,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Under Review,4,Low,Approved
LSL-00025,Casey Brown,"Oneill, Smith and Lester",2024-02-27 15:10:30.753482,"3281 Timothy Square Suite 098
Anitabury, NL T4P 7B3",Bar,Sole Proprietor,104,Outdoor,No,None,Compliant,Yes,1-5 years,None,No,No,No,No,No,Valid,Approved,Under Review,4,Low,Approved
LSL-00026,Teresa Smith,Diaz Inc,2024-05-16 05:23:38.731031,"94209 Fernando Trail
New Patriciastad, QC G1J9A6",Bar,Sole Proprietor,57,Indoor,No,Minor,Compliant,Yes,More than 5 years,None,No,No,No,No,No,Valid,Approved,Under Review,3,Low,Approved
LSL-00027,Kayla Smith,Montgomery-Grant,2024-09-28 02:10:36.308540,"9681 Stanley Ford
North William, AB T9R7H8",Cafe,Corporation,130,Outdoor,Yes,None,Compliant,Yes,1-5 years,None,No,No,No,No,No,Valid,Approved,Under Review,1,Low,Approved
LSL-00028,Todd Arias,"Greer, Mitchell and White",2023-11-05 20:42:08.565962,"7972 James Rue
Port Andrewfurt, NT A1E6Y6",Restaurant,Sole Proprietor,115,Indoor,Yes,Minor,Compliant,Yes,1-5 years,None,No,No,No,No,No,Valid,Approved,Submitted,1,Low,Approved
LSL-00029,Erin Wilson,"Hill, Peterson and Perry",2024-06-12 13:19:09.216732,"8056 Erin Ranch Apt. 059
Robinsonmouth, NU L3H1G4",Restaurant,Corporation,114,Indoor,Yes,Minor,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,1,Low,Approved
LSL-00030,John Martinez,"Rodgers, Cortez and Brock",2024-01-10 03:26:54.265567,"639 Fleming Valley Suite 829
Kristenland, BC T9B2G5",Cafe,Corporation,128,Outdoor,Yes,Minor,Compliant,Yes,1-5 years,None,No,No,No,No,No,Valid,Approved,Submitted,1,Low,Approved
LSL-00031,Stacy Rivera,Proctor-Palmer,2024-02-16 09:05:22.305500,"3132 Nelson Ports
West Christopher, MB K1Y 8S2",Bar,Corporation,134,Indoor,Yes,Minor,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Under Review,1,Low,Approved
LSL-00032,Denise Burke,Reed Group,2024-08-06 05:11:40.239763,"0819 Lee Skyway Suite 381
Virginiaborough, PE Y9T2E7",Bar,Corporation,147,Indoor,No,None,Compliant,Yes,More than 5 years,None,No,No,No,No,No,Valid,Approved,Under Review,3,Low,Approved
LSL-00033,Jennifer Russell,Daniels-Murillo,2024-09-01 03:16:15.132500,"403 Lynn Keys Suite 002
East Christophershire, ON X6R 4B2",Bar,Corporation,74,Indoor,No,Minor,Compliant,Yes,More than 5 years,None,No,No,No,No,No,Valid,Approved,Submitted,3,Low,Approved
LSL-00034,Carrie Lyons,"Washington, Reid and Mendoza",2024-05-13 12:41:48.541299,"746 Sarah Rapids
Reneestad, ON E4V 6B9",Restaurant,Sole Proprietor,74,Outdoor,Yes,None,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Under Review,2,Low,Approved
LSL-00035,Paula Burns,"Miller, Cortez and Howell",2024-04-11 02:07:55.486791,"7212 James Lodge
East Stevenberg, NU S5K 6T2",Bar,Corporation,134,Indoor,Yes,None,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,1,Low,Approved
LSL-00036,Amanda Hughes,"Griffin, Vasquez and Graves",2024-03-28 18:43:45.463476,"3555 Jeffrey Plaza Suite 344
East Matthewmouth, YT L7L 2A4",Cafe,Sole Proprietor,78,Outdoor,No,None,Compliant,Yes,1-5 years,None,No,No,No,No,No,Valid,Approved,Under Review,4,Low,Approved
LSL-00037,Marcus Wilson,Strickland LLC,2024-06-04 10:22:46.451934,"303 Jeffrey Circle
Leslieside, QC L4J8T4",Restaurant,Corporation,115,Indoor,Yes,Minor,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Under Review,2,Low,Approved
LSL-00038,Thomas Gonzalez,Dorsey-Cannon,2024-01-14 18:29:13.917428,"06062 Johnson Plains Apt. 233
Davisburgh, BC M8K8Y1",Restaurant,Sole Proprietor,91,Outdoor,No,Minor,Compliant,Yes,1-5 years,None,No,No,No,No,No,Valid,Approved,Under Review,4,Low,Approved
LSL-00039,Christina Cook,Miller Ltd,2023-10-27 06:14:02.268845,"6854 Smith Grove
Sandramouth, QC M1G 2X2",Restaurant,Corporation,74,Indoor,Yes,None,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,2,Low,Approved
LSL-00040,Jeffrey Johnson,"Moore, Valdez and Morse",2024-03-01 21:47:15.060237,"2479 Wesley Mountains
Santosborough, NS R9S4M9",Bar,Sole Proprietor,61,Indoor,Yes,None,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Under Review,2,Low,Approved
LSL-00041,Scott Rangel,"Gay, Simmons and Miller",2023-12-11 09:04:17.649880,"638 Desiree Lodge Suite 003
New Steve, PE L5Y 2A8",Bar,Corporation,99,Outdoor,No,None,Compliant,Yes,More than 5 years,None,No,No,No,No,No,Valid,Approved,Under Review,3,Low,Approved
LSL-00042,Olivia Mcclain,Hill-Campbell,2024-07-26 11:53:43.262589,"837 Hamilton Mews
Rachelbury, NS J2T 9M3",Bar,Corporation,140,Outdoor,Yes,None,Compliant,Yes,1-5 years,None,No,No,No,No,No,Valid,Approved,Under Review,1,Low,Approved
LSL-00043,Shane Krueger,Thomas Group,2023-11-25 09:12:10.252414,"7545 Valdez Overpass Suite 098
Moodytown, SK S8K 9L5",Bar,Sole Proprietor,86,Outdoor,Yes,Minor,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,1,Low,Approved
LSL-00044,Heather Gray,Hughes-Vaughn,2024-03-28 04:29:38.626182,"22423 Valerie Land Apt. 271
Boyleborough, NS K7Y3X5",Bar,Corporation,140,Outdoor,No,Minor,Compliant,Yes,More than 5 years,None,No,No,No,No,No,Valid,Approved,Submitted,3,Low,Approved
LSL-00045,Elizabeth Blanchard,Andrews-Gates,2023-11-01 10:25:14.700411,"0077 Pham Ports Apt. 182
Josephmouth, SK B8C5P1",Restaurant,Sole Proprietor,142,Outdoor,No,Minor,Compliant,Yes,More than 5 years,None,No,No,No,No,No,Valid,Approved,Submitted,3,Low,Approved
LSL-00046,Andrea Daniel,"Vasquez, Green and White",2024-05-16 19:43:03.891742,"1213 Lisa Causeway
Joseview, BC M2M 7M6",Restaurant,Corporation,96,Indoor,No,None,Compliant,Yes,More than 5 years,None,No,No,No,No,No,Valid,Approved,Submitted,3,Low,Approved
LSL-00047,Tina Livingston,Miller Ltd,2024-10-02 08:47:32.352306,"876 Burgess Roads
Foxtown, BC V4A4T5",Cafe,Corporation,120,Outdoor,Yes,Minor,Compliant,Yes,More than 5 years,None,No,No,No,No,No,Valid,Approved,Submitted,0,Low,Approved
LSL-00048,Shawn Lopez,Parks-Pugh,2024-08-08 10:17:32.898266,"21588 Caitlin Shoals
West Wanda, NT P6E9K3",Restaurant,Sole Proprietor,77,Outdoor,Yes,Minor,Compliant,Yes,More than 5 years,None,No,No,No,No,No,Valid,Approved,Under Review,0,Low,Approved
LSL-00049,Rachel Fuller,Avila Inc,2024-07-09 06:21:28.733629,"095 Rachel Groves
Melindabury, NT C3K5S1",Cafe,Corporation,83,Indoor,Yes,Minor,Compliant,Yes,1-5 years,None,No,No,No,No,No,Valid,Approved,Submitted,1,Low,Approved
LSL-00050,Andrea Huynh,Thomas PLC,2024-03-24 12:53:54.726281,"243 Stacy Neck Suite 351
East Robin, NB H6G 4L8",Restaurant,Sole Proprietor,145,Outdoor,Yes,Minor,Compliant,Yes,1-5 years,None,No,No,No,No,No,Valid,Approved,Submitted,1,Low,Approved
LSL-00051,John Sosa,"Eaton, Contreras and Henderson",2024-01-23 05:31:53.173433,"9242 Kevin Flat Suite 307
Michaelfort, QC N5S6K8",Restaurant,Corporation,144,Indoor,No,Minor,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,4,Low,Approved
LSL-00052,Larry Nichols,Miller-Wiley,2024-02-24 19:19:23.232926,"46934 Doyle Lock Apt. 542
Zacharyport, NL P7L 7E4",Cafe,Sole Proprietor,140,Indoor,Yes,None,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,2,Low,Approved
LSL-00053,Charles Jackson,Powell-Griffith,2024-06-26 12:41:31.866960,"29499 Rivas Parkways
New Mariah, QC R3H 5C7",Cafe,Sole Proprietor,104,Outdoor,Yes,Minor,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Under Review,2,Low,Approved
LSL-00054,Jeffrey Thompson,Campbell-Burns,2024-09-21 02:29:36.606174,"98196 Sherman Mission Apt. 697
Ramirezbury, AB P2K3B2",Cafe,Sole Proprietor,124,Indoor,No,Minor,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Under Review,5,Low,Approved
LSL-00055,Edward Robertson,"Khan, Baker and Martin",2024-06-15 17:55:46.280496,"5815 Patricia Streets Suite 898
New Michaelport, SK E2R 7L1",Cafe,Corporation,139,Indoor,No,Minor,Compliant,Yes,1-5 years,None,No,No,No,No,No,Valid,Approved,Under Review,4,Low,Approved
LSL-00056,Gabriel Mitchell,Price Group,2024-06-24 04:51:31.112431,"9241 Kathy Pine Apt. 633
Jenniferborough, AB L5A 4L2",Restaurant,Corporation,120,Indoor,No,None,Compliant,Yes,More than 5 years,None,No,No,No,No,No,Valid,Approved,Under Review,3,Low,Approved
LSL-00057,Frank Jackson,Marshall-Jones,2024-08-04 06:08:57.819973,"51358 Williams Shoals
Darlenetown, NS V4B 9K8",Cafe,Sole Proprietor,68,Indoor,Yes,Minor,Compliant,Yes,1-5 years,None,No,No,No,No,No,Valid,Approved,Under Review,1,Low,Approved
LSL-00058,Suzanne Hansen,"Jones, Fisher and Wang",2023-12-01 13:38:25.261267,"7745 Schmitt Plains
North Annefurt, ON J7M1N4",Restaurant,Sole Proprietor,94,Outdoor,No,Minor,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,4,Low,Approved
LSL-00059,Rebecca Scott,Coleman-Melton,2023-12-09 06:46:45.266960,"1904 Vanessa Junction
Port Williamchester, QC J3Y3L9",Bar,Corporation,64,Outdoor,Yes,None,Compliant,Yes,More than 5 years,None,No,No,No,No,No,Valid,Approved,Submitted,0,Low,Approved
LSL-00060,Julie Lopez,"Rogers, Jones and Ward",2023-10-30 08:44:17.564373,"97623 Ochoa Estate
Davisburgh, ON X8M 7G2",Cafe,Corporation,60,Indoor,No,Minor,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,5,Low,Approved
LSL-00061,Rachael Smith,Donovan-Shaw,2023-12-29 17:51:43.738341,"34084 Joyce Coves Suite 225
North Mariah, NS X5G 8V2",Cafe,Corporation,122,Outdoor,Yes,Minor,Compliant,Yes,More than 5 years,None,No,No,No,No,No,Valid,Approved,Under Review,0,Low,Approved
LSL-00062,Jorge Holmes,James and Sons,2024-05-04 07:56:34.924950,"38657 Jessica Lodge
Huntport, YT L1B3P9",Restaurant,Corporation,61,Outdoor,Yes,Minor,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Under Review,1,Low,Approved
LSL-00063,Joseph White,Bryant-Nelson,2024-04-30 11:47:30.252923,"040 Kevin Terrace Suite 356
New Jennifertown, NB M9J 7G7",Cafe,Corporation,53,Outdoor,Yes,None,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,2,Low,Approved
LSL-00064,Kevin Wilcox,Davis Inc,2024-06-08 02:27:34.176054,"3849 Joshua Cape
West Joseph, QC E9T4T1",Bar,Sole Proprietor,91,Outdoor,Yes,None,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,2,Low,Approved
LSL-00065,Austin Wallace,"Hanson, Simmons and Scott",2024-06-08 04:17:53.636437,"0240 Michael Coves
Fordmouth, AB M7C 7X2",Cafe,Corporation,150,Outdoor,Yes,None,Compliant,Yes,More than 5 years,None,No,No,No,No,No,Valid,Approved,Under Review,0,Low,Approved
LSL-00066,Tyler Brown,Gardner Group,2024-10-09 12:28:38.300627,"580 Heidi Rest Apt. 649
Richardsonmouth, SK E8Y6N1",Bar,Sole Proprietor,86,Outdoor,No,None,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,4,Low,Approved
LSL-00067,Gina Dawson,Rodriguez LLC,2024-08-06 14:47:47.482223,"6254 Gonzalez Mews Apt. 770
East Jennifer, NT P3J2C9",Bar,Sole Proprietor,129,Indoor,Yes,Minor,Compliant,Yes,1-5 years,None,No,No,No,No,No,Valid,Approved,Submitted,1,Low,Approved
LSL-00068,Gregory Ortiz,Livingston LLC,2024-08-11 03:14:27.286288,"52754 Moore Ports Suite 020
Rodgersland, ON J5M 2S7",Bar,Corporation,132,Indoor,Yes,None,Compliant,Yes,More than 5 years,None,No,No,No,No,No,Valid,Approved,Submitted,0,Low,Approved
LSL-00069,Elizabeth Kramer,"Roy, Johnson and Elliott",2023-11-26 20:18:28.108883,"7848 Davis Walks Suite 309
Port Patrickburgh, PE V8M 8E2",Restaurant,Sole Proprietor,116,Outdoor,No,None,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Under Review,5,Low,Approved
LSL-00070,Daisy Moore,Stevenson Inc,2023-12-08 06:48:37.456869,"3114 Adrian Park
Jeffberg, NU A9C1A3",Bar,Sole Proprietor,116,Indoor,Yes,None,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Under Review,2,Low,Approved
LSL-00071,Cynthia Morgan,"Sexton, Lucas and Ward",2024-02-14 10:59:03.141971,"6264 Christopher Street
Manuelland, NS P6E6Y7",Bar,Sole Proprietor,109,Outdoor,No,None,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Under Review,5,Low,Approved
LSL-00072,Ann Lee,"Kelly, Wilson and Morales",2024-02-06 21:16:00.506978,"6428 Fisher Alley Suite 421
Whitneymouth, MB M4T 8H7",Bar,Sole Proprietor,78,Indoor,No,None,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Under Review,4,Low,Approved
LSL-00073,Brandi Pierce,Mitchell-Ray,2024-09-29 02:31:54.452742,"65439 Ashley Plaza Apt. 677
Michaelview, QC T8K9G2",Cafe,Sole Proprietor,80,Outdoor,Yes,Minor,Compliant,Yes,1-5 years,None,No,No,No,No,No,Valid,Approved,Under Review,1,Low,Approved
LSL-00074,Danielle Powell,James-Romero,2024-02-26 00:54:40.552521,"37539 Teresa Corner
Lake Jeffrey, NT G4G 4J3",Bar,Corporation,71,Indoor,No,None,Compliant,Yes,More than 5 years,None,No,No,No,No,No,Valid,Approved,Under Review,3,Low,Approved
LSL-00075,Justin May,Robinson Inc,2024-09-18 09:19:29.005064,"525 Torres Hill
North Jamieberg, NS A5V3L6",Restaurant,Sole Proprietor,72,Outdoor,Yes,Minor,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Under Review,1,Low,Approved
LSL-00076,David Brown,Nguyen-Brown,2024-06-10 05:45:50.567638,"24362 Ortiz Walks
Richardfurt, SK H9T2J7",Bar,Corporation,113,Indoor,Yes,None,Compliant,Yes,1-5 years,None,No,No,No,No,No,Valid,Approved,Submitted,1,Low,Approved
LSL-00077,Robin Thompson,Livingston Inc,2024-02-03 06:35:39.292197,"522 Hughes Fall
Port Margarettown, BC P4C6E4",Restaurant,Sole Proprietor,74,Indoor,No,None,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,5,Low,Approved
LSL-00078,Gregory Singh,Robinson Group,2024-09-22 07:42:55.051150,"421 Kristine Lane Suite 127
Herreraberg, SK B8J1C8",Bar,Corporation,70,Indoor,No,None,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Under Review,5,Low,Approved
LSL-00079,Candice Wolf,"Anderson, Berry and Roman",2024-10-13 18:31:26.760429,"4127 Ayers Estates
South Anthony, ON B6A 1A7",Bar,Corporation,73,Outdoor,No,Minor,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,4,Low,Approved
LSL-00080,Blake Randolph,"Stevens, Martin and Blanchard",2024-04-25 16:04:19.874057,"37280 Laura Summit
West Melissaborough, SK K7L 2P3",Bar,Corporation,84,Indoor,No,None,Compliant,Yes,More than 5 years,None,No,No,No,No,No,Valid,Approved,Under Review,3,Low,Approved
LSL-00081,Crystal Warner,"Lucero, Lawrence and Martin",2024-06-27 14:07:39.858914,"554 Rachel Greens
South Alexis, NB Y1Y 8R2",Bar / Sports Bar,Limited Partnership,166,Indoor,No,Minor,Compliant,Yes,1-5 years,Outdoor Seating,Yes,No,No,Yes,No,Valid,Approved,Submitted,8,Moderate,Conditional Approval
LSL-00082,John Durham,Booker-Snyder,2024-05-06 21:12:44.478428,"6966 Swanson Island
North Kimberly, QC K3A5E6",Bar / Sports Bar,Limited Partnership,185,Indoor,Yes,Minor,Compliant,No,1-5 years,Outdoor Seating,Yes,No,No,Yes,No,Valid,Approved,Under Review,7,Moderate,Conditional Approval
LSL-00083,Joy Davis,"Ferguson, Zavala and Barnett",2024-04-01 18:42:14.090189,"6468 Jesse Cliff Apt. 362
Port Bryce, MB Y9A 7A3",Restaurant / Club,Limited Partnership,193,Indoor,Yes,Multiple,Compliant,No,1-5 years,Outdoor Seating,Yes,Yes,No,Yes,No,Valid,Pending,Under Review,10,Moderate,Conditional Approval
LSL-00084,Roberto Daniels,Vargas Inc,2024-01-19 01:39:33.916839,"2397 Beverly Bypass Apt. 220
Brandonmouth, AB V1R 3J5",Restaurant / Club,Corporation,188,Indoor,Yes,Multiple,Non-Compliant,Yes,1-5 years,Outdoor Seating,Yes,No,No,Yes,No,Valid,Pending,Submitted,9,Moderate,Conditional Approval
LSL-00085,Carrie Smith,Lewis-Joseph,2023-11-13 07:39:51.803430,"8406 Alyssa Stravenue Apt. 076
Milesmouth, BC P3K 8L2",Restaurant / Club,Limited Partnership,184,Indoor,Yes,Minor,Non-Compliant,No,1-5 years,Outdoor Seating,Yes,No,No,Yes,No,Valid,Approved,Under Review,9,Moderate,Conditional Approval
LSL-00086,Joanne Chavez,Scott-Singh,2024-01-12 04:24:08.781010,"329 Perkins Islands
Davisview, NL C1S9L8",Bar / Sports Bar,Corporation,239,Indoor,No,Multiple,Non-Compliant,Yes,1-5 years,Outdoor Seating,Yes,Yes,No,Yes,No,Valid,Pending,Submitted,11,Moderate,Conditional Approval
LSL-00087,Shawn Logan,"Johnson, Salinas and Harris",2024-07-09 17:09:32.952443,"7317 Mathews Drive Apt. 337
Petersport, NL X3L 9H6",Bar / Sports Bar,Limited Partnership,229,Indoor,No,Multiple,Compliant,No,1-5 years,Outdoor Seating,Yes,No,No,Yes,No,Valid,Approved,Under Review,10,Moderate,Conditional Approval
LSL-00088,Sharon Ruiz,"Perez, Haley and Terry",2024-09-24 11:07:24.164842,"280 Leslie Wells Suite 374
Smithland, MB B7K3A8",Restaurant / Club,Corporation,184,Indoor,Yes,Minor,Non-Compliant,No,1-5 years,Outdoor Seating,Yes,No,No,Yes,No,Valid,Pending,Submitted,9,Moderate,Conditional Approval
