Application_ID,Applicant_Name,Business_Name,Application_Date,Business_Address,Premises_Type,Applicant_Type,Seating_Capacity,Area_Type,Previous_Licenses_Held,Compliance_History,Tax_Compliance_Status,Premises_Ownership,Business_Longevity,Licensed_Areas,Automated_Liquor_Dispensers,Lineups_on_Public_Property,Ancillary_Areas,Proximity_to_Residential_Area,Proximity_to_School,Fire_Safety_Certificate,Municipal_Approval,Is_Renewal,Risk_Score,Risk_Classification,Licensing_Decision,Application_Status
LSL-00050,Thomas Lam,Fleming LLC,2024-09-15 3:37:57,"2347 Tammy Drive Apt. 555, Toronto, ON, K2E3Y2",Night Club,Provincial Government,232,Both,Yes,Severe,Compliant,Yes,1-5 years,None,No,No,Yes,No,No,Valid,Pending,Yes,3,Low,Approved,Approved
LSL-00052,Dustin Taylor,Wheeler and Sons,2024-08-03 21:20:45,"3475 Hernandez Ridges, Markham, ON, X3B3S4",Bingo Hall,Association,158,Indoor,Yes,None,Compliant,No,1-5 years,Outdoor Seating,Yes,No,Yes,Yes,No,Expired,Pending,Yes,6,Low,Approved,Approved
LSL-00055,John Ruiz,Li LLC,2023-03-13 5:42:51,"89509 Justin Brook, Mississauga, ON, C4K 3L8",Art Gallery,Corporation,101,Outdoor,Yes,Minor,Compliant,Yes,1-5 years,VIP Rooms,Yes,Yes,No,Yes,No,Valid,Pending,No,6,Low,Approved,Approved
LSL-00065,Jaime Mendoza,"Perez, Brewer and Wilson",2024-01-16 11:45:28,"316 Gina Drive Apt. 415, Toronto, ON, Y1H 4J3",Restaurant,Estate/Trust,183,Indoor,No,None,Non-Compliant,Yes,1-5 years,Outdoor Seating,No,No,Yes,No,No,Expired,Pending,Yes,6,Low,Approved,Approved
LSL-00074,Veronica Kelly,Duffy-Walker,2024-08-25 1:26:48,"71062 Porter Views Apt. 682, Mississauga, ON, L1H9R5",Adult Entertainment,Estate/Trust,207,Indoor,No,Multiple,Non-Compliant,Yes,More than 5 years,Outdoor Seating,No,Yes,No,No,No,Valid,Approved,Yes,5,Low,Approved,Approved
LSL-00076,Melissa Olsen,Sims Inc,2023-04-29 22:38:08,"844 Zuniga Motorway Suite 379, Hamilton, ON, C5C4P6",Art Gallery,Association,92,Indoor,Yes,Multiple,Compliant,Yes,1-5 years,None,No,No,Yes,No,No,Valid,Pending,Yes,2,Low,Approved,Approved
LSL-00083,Alexis Lane,Lopez-Paul,2024-08-14 13:13:15,"12183 Rebecca Club, Richmond Hill, ON, G9C7A1",Golf Course,Corporation,181,Outdoor,Yes,Multiple,Compliant,No,1-5 years,None,Yes,No,No,No,Yes,Expired,Pending,Yes,6,Low,Approved,Approved
LSL-00085,Andrew Ashley,Olson-Cross,2023-01-21 9:54:45,"5798 Alexis Drives, Richmond Hill, ON, M7C 6T9",Bar / Sports Bar,First Nations,196,Indoor,Yes,Minor,Non-Compliant,No,More than 5 years,Outdoor Seating,No,No,Yes,No,Yes,Valid,Approved,Yes,6,Low,Approved,Approved
LSL-00087,Meghan Simon,Parks LLC,2023-08-19 8:52:47,"09718 Martin Court Suite 062, Brampton, ON, Y6Y9Y2",Funeral Home,Estate/Trust,140,Indoor,Yes,Minor,Non-Compliant,Yes,1-5 years,None,Yes,Yes,Yes,No,No,Valid,Approved,No,6,Low,Approved,Approved
LSL-00090,Alisha Rogers,"Moon, Dougherty and Brooks",2022-12-03 10:50:07,"2017 Troy Unions Apt. 938, Kitchener, ON, N7P 7C4",Bar / Sports Bar,Provincial Government,159,Both,No,Minor,Compliant,Yes,Less than 1 year,None,Yes,No,Yes,No,No,Valid,Pending,Yes,6,Low,Approved,Approved
LSL-00095,Brian Lewis,Garcia-Wolfe,2024-04-04 7:22:52,"47234 Daniel Groves Apt. 297, Ottawa, ON, R6L 1A2",Restaurant / Club,Provincial Government,69,Indoor,Yes,Minor,Non-Compliant,Yes,More than 5 years,Outdoor Seating,Yes,No,Yes,Yes,No,Expired,Pending,Yes,5,Low,Approved,Approved
LSL-00096,Jason Brown,Richard-Blair,2023-12-11 10:50:20,"325 Michelle Squares Suite 587, Brampton, ON, L6Y 3Y9",Train,Partnership,74,Outdoor,Yes,Multiple,Compliant,Yes,More than 5 years,Outdoor Seating,No,Yes,Yes,No,No,Expired,Pending,Yes,3,Low,Approved,Approved
LSL-00104,Sharon Bailey,Allen and Sons,2024-02-03 4:28:58,"407 Wallace Extensions, Mississauga, ON, H1G 3H2",Restaurant / Bar,Municipality,81,Outdoor,Yes,Minor,Non-Compliant,Yes,More than 5 years,None,Yes,No,No,No,Yes,Valid,Pending,No,5,Low,Approved,Approved
LSL-00106,Joel Ashley,Gutierrez-Martin,2023-08-30 4:02:29,"6708 Vincent Manors Apt. 785, Richmond Hill, ON, S7G 1G2",Specialty Merchandise Store,Municipality,133,Indoor,Yes,Minor,Compliant,No,1-5 years,None,Yes,No,Yes,Yes,No,Valid,Approved,Yes,5,Low,Approved,Approved
LSL-00111,Janet Miller,Harris-Mejia,2023-03-14 2:21:59,"64031 Miller Ridges Suite 949, Vaughan, ON, M1X8M1",Stadium,Corporation,297,Outdoor,Yes,Severe,Compliant,No,1-5 years,None,No,Yes,Yes,No,No,Valid,Pending,Yes,6,Low,Approved,Approved
LSL-00115,Maria Keller,Martinez-Hines,2022-11-16 22:44:27,"49842 Joseph Keys Apt. 215, Toronto, ON, A8S 8Y7",Educational Facility-Over 19 yrs of age,Sole Proprietor,110,Outdoor,No,None,Compliant,Yes,1-5 years,None,Yes,No,Yes,No,No,Expired,Approved,No,6,Low,Approved,Approved
LSL-00117,Maria Cooper,Brown-Armstrong,2023-12-07 2:51:59,"59042 Elizabeth Stream Suite 720, Ottawa, ON, N9C3Y3",Restaurant,Limited Partnership,297,Indoor,No,Minor,Non-Compliant,Yes,More than 5 years,None,No,No,No,No,No,Expired,Approved,Yes,3,Low,Approved,Approved
LSL-00118,Krystal Vasquez,Romero PLC,2022-12-06 4:02:36,"36529 Bobby Tunnel, Richmond Hill, ON, X8R5S6",Internet Cafe,Association,257,Outdoor,Yes,None,Compliant,Yes,1-5 years,None,No,No,Yes,No,No,Expired,Approved,Yes,0,Low,Approved,Approved
LSL-00119,Veronica Gutierrez,Marshall-Williamson,2024-09-11 22:56:45,"272 Forbes Glen Suite 734, Brampton, ON, E2N 9Y7",Karaoke Bar / Restaurant,Partnership,100,Outdoor,No,Multiple,Compliant,Yes,More than 5 years,VIP Rooms,No,No,Yes,No,Yes,Valid,Pending,Yes,5,Low,Approved,Approved
LSL-00121,Brendan Jones,Cohen-Stokes,2023-01-01 16:08:47,"7180 Matthew Cliff Suite 120, Kitchener, ON, S9S 6C8",Bingo Hall,Provincial Government,70,Outdoor,No,None,Non-Compliant,Yes,1-5 years,None,Yes,No,No,No,No,Expired,Approved,Yes,5,Low,Approved,Approved
LSL-00126,Jamie Dawson,"Wood, Simpson and Miller",2024-05-15 2:59:21,"8763 Ballard Greens, Kitchener, ON, P3E 6T9",Speciality Food Store,Limited Partnership,86,Outdoor,Yes,None,Compliant,No,1-5 years,Outdoor Seating,No,Yes,Yes,No,Yes,Valid,Approved,Yes,6,Low,Approved,Approved
LSL-00128,Chelsea Bush,Mason Group,2024-10-16 0:51:23,"9334 Stone Key Apt. 607, Vaughan, ON, T5H 4J3",Art Gallery,First Nations,88,Outdoor,Yes,Minor,Non-Compliant,No,More than 5 years,Outdoor Seating,No,No,No,Yes,No,Valid,Pending,Yes,5,Low,Approved,Approved
LSL-00132,Michael Miller,Leon LLC,2023-01-10 3:17:38,"6600 Alison Crossroad, Markham, ON, R7C4M4",Spa,Partnership,161,Indoor,Yes,None,Compliant,Yes,More than 5 years,None,No,No,No,No,Yes,Valid,Approved,Yes,0,Low,Approved,Approved
LSL-00135,Christopher Zimmerman,Smith-Kim,2023-05-16 8:54:09,"8964 Tina Square, Ottawa, ON, M9J9J4",Train,Limited Partnership,123,Outdoor,Yes,Minor,Non-Compliant,Yes,More than 5 years,None,Yes,No,Yes,Yes,No,Expired,Pending,No,6,Low,Approved,Approved
LSL-00139,Chad Keller,Murray Group,2024-03-05 12:52:07,"78992 Martin Lights Apt. 631, Kitchener, ON, X4L8V5",Motion Picture Theatre,Partnership,281,Outdoor,No,Multiple,Non-Compliant,Yes,More than 5 years,VIP Rooms,No,Yes,Yes,No,No,Expired,Approved,Yes,6,Low,Approved,Approved
LSL-00141,Richard Nguyen,"Pratt, Miller and Evans",2022-12-03 10:05:02,"2232 Goodman Passage, Toronto, ON, P7R9T4",Hotel / Motel,Provincial Government,133,Both,Yes,None,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,Yes,Yes,No,Valid,Pending,Yes,2,Low,Approved,Approved
LSL-00144,Stephanie Anderson,Moore-Fowler,2023-08-16 8:09:00,"527 Jill Row Apt. 933, Mississauga, ON, A6C2K2",Department Store,Provincial Government,137,Both,Yes,Minor,Non-Compliant,Yes,1-5 years,VIP Rooms,No,No,No,No,No,Valid,Approved,No,4,Low,Approved,Approved
LSL-00148,Kenneth Stewart,"Hopkins, Pitts and Thompson",2023-02-13 20:11:50,"943 Anderson Ville Apt. 603, Richmond Hill, ON, V5H5L8",Convenient Store,Estate/Trust,140,Indoor,Yes,None,Compliant,Yes,More than 5 years,Outdoor Seating,Yes,No,Yes,No,No,Valid,Pending,No,3,Low,Approved,Approved
LSL-00149,Larry Arnold,Hunt-Harris,2024-03-31 7:48:21,"1590 Maxwell Extension Apt. 176, Richmond Hill, ON, L5X4C5",Museum,Provincial Government,123,Outdoor,Yes,Minor,Compliant,Yes,More than 5 years,Outdoor Seating,No,Yes,No,Yes,Yes,Valid,Pending,Yes,4,Low,Approved,Approved
LSL-00150,Karen Schmidt,"Stafford, Frye and Richards",2022-12-07 14:47:05,"776 Peck Forks Suite 274, Windsor, ON, H7E4L1",Military,Estate/Trust,237,Outdoor,Yes,Minor,Compliant,Yes,More than 5 years,None,Yes,No,No,No,No,Expired,Pending,Yes,-1,Low,Approved,Approved
LSL-00152,Martin Luna,Santiago-Oliver,2023-10-10 3:33:17,"358 Lisa Street Suite 848, Brampton, ON, P6G7A4",Arcade-style Facility,First Nations,84,Indoor,Yes,Minor,Non-Compliant,Yes,More than 5 years,None,Yes,Yes,No,Yes,No,Valid,Pending,Yes,4,Low,Approved,Approved
LSL-00154,Erik Myers,Blair LLC,2022-12-21 4:37:28,"87254 Christine Pike, Hamilton, ON, H2S4R6",Boat,Association,264,Both,Yes,Multiple,Compliant,No,More than 5 years,None,No,No,Yes,No,Yes,Valid,Approved,Yes,5,Low,Approved,Approved
LSL-00155,Amber Thomas,Parker LLC,2024-06-01 9:59:39,"259 Martinez Islands, Vaughan, ON, H7B 8H4",Military,Partnership,115,Both,No,Severe,Compliant,Yes,More than 5 years,Outdoor Seating,Yes,No,Yes,No,No,Valid,Approved,Yes,4,Low,Approved,Approved
LSL-00165,Elizabeth Johnson,"Martinez, Hanna and Beasley",2023-08-08 15:25:26,"646 Gordon Coves Apt. 820, Brampton, ON, P8Y 8M5",Karaoke Bar / Restaurant,Association,264,Outdoor,No,Multiple,Compliant,No,More than 5 years,None,No,Yes,No,Yes,No,Expired,Approved,Yes,6,Low,Approved,Approved
LSL-00166,Jennifer Rush,Baldwin LLC,2022-12-18 14:09:09,"57347 Thompson Plains, Kitchener, ON, A2B 7L9",Internet Cafe,Partnership,136,Indoor,Yes,None,Compliant,No,More than 5 years,VIP Rooms,Yes,No,No,No,Yes,Valid,Pending,Yes,4,Low,Approved,Approved
LSL-00172,Amber Schneider,"Watts, Burch and Taylor",2023-06-22 2:22:46,"6275 Ashley Cove Suite 165, Toronto, ON, C5S9K6",Golf Course,Estate/Trust,173,Indoor,Yes,None,Compliant,Yes,1-5 years,Outdoor Seating,Yes,Yes,No,No,Yes,Valid,Approved,Yes,4,Low,Approved,Approved
LSL-00177,Mrs. Gabrielle Ross,Williams Group,2023-08-15 14:25:07,"202 Bell Crossing, Markham, ON, N8C 8C1",Restaurant / Club,First Nations,97,Indoor,No,Severe,Non-Compliant,Yes,More than 5 years,Outdoor Seating,No,Yes,No,No,No,Expired,Approved,Yes,5,Low,Approved,Approved
LSL-00178,Mckenzie Nunez,Ross-Taylor,2022-11-25 6:48:50,"83278 Lang Valley, Mississauga, ON, G4T6T5",Convenient Store,Municipality,189,Both,Yes,Minor,Compliant,Yes,Less than 1 year,VIP Rooms,No,Yes,Yes,Yes,No,Expired,Pending,Yes,6,Low,Approved,Approved
LSL-00183,David Warren,"Baxter, Mitchell and Phillips",2023-12-17 11:33:33,"961 Taylor Cape, Brampton, ON, L7C7G4",Museum,Partnership,204,Both,No,None,Compliant,Yes,Less than 1 year,VIP Rooms,Yes,No,No,No,No,Valid,Approved,Yes,6,Low,Approved,Approved
LSL-00186,Victoria Chen,"Stewart, Underwood and Edwards",2023-04-12 15:09:58,"135 Cordova Causeway, Markham, ON, G8A7X2",Banquet Hall,Association,181,Outdoor,Yes,None,Compliant,Yes,1-5 years,None,Yes,No,Yes,No,No,Valid,Approved,Yes,1,Low,Approved,Approved
LSL-00188,Francis Ibarra,Jones-Lee,2023-12-03 17:18:31,"89878 Yolanda Forks, Kitchener, ON, N3B5E4",General Store,Corporation,227,Indoor,No,None,Compliant,Yes,More than 5 years,VIP Rooms,No,No,Yes,No,No,Valid,Approved,No,5,Low,Approved,Approved
LSL-00189,Courtney Krueger,Cook Group,2023-01-07 3:22:29,"817 Carlos Courts Suite 018, Windsor, ON, V1N3Y3",Historical Site / Landmark,Federal Government,275,Outdoor,Yes,None,Compliant,Yes,1-5 years,VIP Rooms,No,Yes,No,No,No,Expired,Approved,Yes,1,Low,Approved,Approved
LSL-00202,Jonathan Ramirez,Smith Ltd,2023-11-04 8:41:39,"92145 Bowers Shoal Apt. 096, Brampton, ON, E1M 7B1",Adult Entertainment,Federal Government,272,Both,Yes,Minor,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,Yes,Yes,Expired,Pending,Yes,3,Low,Approved,Approved
LSL-00208,Donna Mathews,May Inc,2022-12-30 2:17:15,"75962 Michael View Suite 341, Toronto, ON, N5J 6B5",Community Centre,First Nations,293,Both,Yes,None,Compliant,Yes,More than 5 years,None,Yes,Yes,Yes,Yes,No,Expired,Approved,No,5,Low,Approved,Approved
LSL-00215,Paul Smith,Cook-Mendez,2024-01-10 6:27:14,"1051 Michele Plains Suite 341, Kitchener, ON, Y8X 8X7",Social Club,Sole Proprietor,72,Outdoor,No,Severe,Compliant,Yes,1-5 years,Outdoor Seating,No,Yes,No,No,No,Valid,Approved,No,6,Low,Approved,Approved
LSL-00218,Leslie Shepard,Ferguson PLC,2024-09-22 3:53:15,"4569 Stephanie Summit, Toronto, ON, S4H2T3",Boat,Provincial Government,177,Outdoor,Yes,Minor,Compliant,No,1-5 years,Outdoor Seating,Yes,No,Yes,Yes,No,Expired,Approved,Yes,6,Low,Approved,Approved
LSL-00221,Daniel Hale,Greene Inc,2023-06-26 19:36:17,"8001 Cristina Meadows Apt. 210, Kitchener, ON, R7L 3L1",Restaurant / Bar,Sole Proprietor,232,Indoor,Yes,Multiple,Compliant,No,More than 5 years,Outdoor Seating,No,No,Yes,No,No,Valid,Pending,No,6,Low,Approved,Approved
LSL-00225,Angela Young,Allen-Turner,2023-06-28 13:51:29,"923 Yolanda Fork Apt. 142, Kitchener, ON, H3R 7A1",Karaoke Bar / Restaurant,Association,241,Outdoor,Yes,Minor,Non-Compliant,Yes,More than 5 years,VIP Rooms,Yes,No,No,Yes,No,Expired,Pending,Yes,4,Low,Approved,Approved
LSL-00232,Daniel Armstrong,James LLC,2024-08-18 17:24:41,"50014 Melissa Hollow Apt. 638, Kitchener, ON, B4C 6S8",Athletic Club,Estate/Trust,282,Both,Yes,None,Compliant,Yes,More than 5 years,Outdoor Seating,Yes,No,No,No,Yes,Valid,Approved,Yes,2,Low,Approved,Approved
LSL-00238,Troy Hernandez,Murphy-Dunn,2023-04-20 14:01:24,"7195 Dillon Mission Suite 712, Brampton, ON, B4H 4V3",Hair Salon / Barber Shop,Estate/Trust,115,Outdoor,Yes,None,Compliant,Yes,More than 5 years,VIP Rooms,Yes,No,Yes,No,Yes,Expired,Approved,No,5,Low,Approved,Approved
LSL-00242,Deborah Morrison,"Wilcox, Escobar and Miller",2022-10-22 13:08:37,"58351 Anna Knolls, London, ON, A1L 3K7",Banquet Hall,Federal Government,118,Both,Yes,None,Non-Compliant,Yes,1-5 years,None,No,Yes,No,Yes,No,Expired,Pending,Yes,4,Low,Approved,Approved
LSL-00246,Kenneth Reynolds,"Green, Graves and Hahn",2022-11-10 10:16:10,"361 Steven Stravenue, Brampton, ON, J5T2T3",Spa,Limited Partnership,156,Outdoor,Yes,None,Compliant,Yes,More than 5 years,Outdoor Seating,Yes,Yes,No,No,No,Expired,Pending,Yes,1,Low,Approved,Approved
LSL-00250,Brandon Fletcher,Rice-Ray,2024-03-04 8:52:15,"7100 James Turnpike Apt. 339, London, ON, R6H 6Y1",Live Theatre,Association,98,Both,Yes,Minor,Non-Compliant,Yes,More than 5 years,None,No,Yes,No,No,Yes,Valid,Approved,No,5,Low,Approved,Approved
LSL-00251,Jasmine Murphy,Cox-Horn,2024-09-10 6:28:59,"753 Samantha Field, Kitchener, ON, V4N2S7",Speciality Food Store,Sole Proprietor,219,Outdoor,Yes,Minor,Non-Compliant,Yes,1-5 years,None,No,No,No,No,No,Expired,Approved,Yes,1,Low,Approved,Approved
LSL-00254,Christina Bullock,Russo Ltd,2023-08-21 21:15:18,"38495 Cassandra Mount Suite 287, Vaughan, ON, P9Y 5G7",Live Theatre,Association,238,Both,Yes,Multiple,Compliant,Yes,More than 5 years,None,No,No,No,Yes,No,Expired,Approved,Yes,2,Low,Approved,Approved
LSL-00260,Sabrina Anderson,Lester PLC,2024-02-18 6:07:07,"11310 Christopher Crossing Suite 392, Hamilton, ON, A7J9S4",Restaurant (Franchise),Corporation,173,Outdoor,Yes,None,Compliant,No,1-5 years,VIP Rooms,No,No,No,No,Yes,Valid,Approved,Yes,4,Low,Approved,Approved
LSL-00261,Linda French,"Ford, Newman and Duncan",2023-05-17 1:05:37,"66316 Fletcher Stravenue, Ottawa, ON, N4C 4L9",Funeral Home,Provincial Government,97,Indoor,Yes,Severe,Compliant,Yes,1-5 years,None,No,No,Yes,No,Yes,Valid,Approved,Yes,5,Low,Approved,Approved
LSL-00265,Vanessa Miller,Mccoy PLC,2023-08-01 16:41:56,"95379 Case Street, Windsor, ON, M7V4N2",Other,Partnership,151,Both,Yes,None,Compliant,No,More than 5 years,None,No,Yes,Yes,No,Yes,Valid,Approved,Yes,4,Low,Approved,Approved
LSL-00270,Gloria Mack,Leon Inc,2023-06-27 9:46:22,"0354 Smith View, Brampton, ON, K7C 7X2",Funeral Home,Federal Government,285,Indoor,Yes,None,Compliant,Yes,1-5 years,Outdoor Seating,Yes,No,Yes,Yes,No,Expired,Approved,Yes,4,Low,Approved,Approved
LSL-00283,Scott Miller,Nguyen-Matthews,2023-02-05 5:56:10,"6546 Megan Ridge Suite 356, London, ON, X9X 9M3",Place of Worship,Association,59,Both,No,None,Non-Compliant,Yes,1-5 years,None,No,No,Yes,No,No,Expired,Pending,Yes,5,Low,Approved,Approved
LSL-00284,Richard Gonzalez,"Velasquez, Herrera and Kelly",2023-05-28 12:42:51,"1662 Little Junctions Apt. 877, Mississauga, ON, S1K 1X4",Retirement Residence,Estate/Trust,111,Outdoor,No,None,Compliant,No,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Pending,Yes,4,Low,Approved,Approved
LSL-00285,Matthew Smith,Villa-Martinez,2023-03-31 20:59:52,"8482 Meagan Manor, Ottawa, ON, L9T 2T8",Grocery Store,First Nations,67,Indoor,Yes,Multiple,Compliant,No,More than 5 years,Outdoor Seating,No,No,No,No,Yes,Expired,Pending,Yes,5,Low,Approved,Approved
LSL-00288,Eric Powers,Luna-Stuart,2024-09-29 4:17:30,"1568 Tonya Harbors Apt. 110, Mississauga, ON, A4N3M6",Restaurant (Franchise),First Nations,246,Outdoor,Yes,Minor,Compliant,Yes,Less than 1 year,VIP Rooms,No,Yes,No,Yes,No,Expired,Approved,Yes,5,Low,Approved,Approved
LSL-00294,Kathryn Kirk,"Washington, Guerrero and Smith",2024-02-25 21:16:53,"978 Teresa Cliffs Suite 973, Vaughan, ON, P2G6X7",Bowling Alley,Limited Partnership,269,Indoor,Yes,Minor,Non-Compliant,No,More than 5 years,Outdoor Seating,No,Yes,No,No,No,Expired,Approved,Yes,4,Low,Approved,Approved
LSL-00300,Bradley Garcia,Baker-Stevens,2022-11-17 2:16:38,"414 Stephanie Course Suite 236, Richmond Hill, ON, G5T 9B5",Boat,Limited Partnership,102,Both,Yes,Severe,Non-Compliant,Yes,More than 5 years,None,Yes,No,No,No,Yes,Expired,Pending,Yes,6,Low,Approved,Approved
LSL-00302,Megan Hayes,Scott Ltd,2023-12-09 22:21:33,"204 Tony Dale, Markham, ON, R1M 4C7",Speciality Food Store,Sole Proprietor,172,Indoor,Yes,Minor,Compliant,No,More than 5 years,Outdoor Seating,Yes,Yes,Yes,No,No,Expired,Pending,Yes,4,Low,Approved,Approved
LSL-00303,Kathleen Garcia,Mills Inc,2023-02-22 17:13:33,"38140 Courtney Locks, London, ON, E9H 8R4",General Store,Limited Partnership,296,Indoor,Yes,Minor,Compliant,No,Less than 1 year,VIP Rooms,No,Yes,No,No,No,Valid,Approved,Yes,5,Low,Approved,Approved
LSL-00308,Paige Morris,"Maxwell, Rice and Valencia",2024-09-08 6:54:10,"0164 Sarah Station, Hamilton, ON, A1P 4G1",Speciality Food Store,Association,78,Outdoor,Yes,None,Compliant,Yes,1-5 years,None,Yes,No,No,No,No,Expired,Approved,No,2,Low,Approved,Approved
LSL-00309,Daniel Brown,Russell and Sons,2024-03-17 3:48:18,"57609 Garza Gardens, Mississauga, ON, P6L 1S3",Billiard / Pool Hall,Estate/Trust,264,Indoor,Yes,Minor,Non-Compliant,No,More than 5 years,None,Yes,No,No,No,Yes,Valid,Approved,Yes,5,Low,Approved,Approved
LSL-00311,Chelsea Donaldson,Francis-Anderson,2024-07-05 4:09:38,"4062 Peters Court Suite 275, Windsor, ON, M6P 9E7",Stadium,Municipality,103,Both,Yes,Minor,Compliant,Yes,Less than 1 year,VIP Rooms,Yes,No,Yes,No,No,Expired,Pending,No,6,Low,Approved,Approved
LSL-00312,Traci Roberts,"Hall, Santos and Harris",2023-10-01 8:06:53,"8941 Burch Port Suite 481, Hamilton, ON, B9L2J7",Bowling Alley,Partnership,287,Indoor,No,Multiple,Compliant,Yes,1-5 years,None,No,Yes,No,No,Yes,Valid,Approved,Yes,5,Low,Approved,Approved
LSL-00314,David Valdez,"Salinas, Ward and Rose",2024-08-23 10:28:40,"97638 Rivera Tunnel Suite 204, Ottawa, ON, X2X1B3",Train,First Nations,89,Indoor,No,Multiple,Compliant,Yes,More than 5 years,None,No,No,Yes,Yes,No,Expired,Approved,Yes,4,Low,Approved,Approved
